trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
680,False,"{'a': 0.5, 'e': 0.88473975}",20,0,-61.677926691353605,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
681,False,"{'a': 0.5, 'e': 0.8844}",30,19,-41.62609457834734,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 0}",1
682,False,"{'a': 0.5, 'e': 0.88405975}",20,0,-80.2728101400166,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
683,False,"{'a': 0.5, 'e': 0.883719}",35,0,-121.31469014983134,"{0: 21, 1: 6, 2: 6, 3: 1, 4: 1}",0
684,False,"{'a': 0.5, 'e': 0.88337775}",35,0,-71.56173163610791,"{0: 21, 1: 10, 2: 4, 3: 0, 4: 0}",0
685,False,"{'a': 0.5, 'e': 0.883036}",20,0,-31.667578787751694,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
686,False,"{'a': 0.5, 'e': 0.88269375}",25,0,-139.87936606787133,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
687,False,"{'a': 0.5, 'e': 0.882351}",35,0,-69.48612358003467,"{0: 28, 1: 2, 2: 3, 3: 1, 4: 1}",0
688,False,"{'a': 0.5, 'e': 0.88200775}",30,0,-136.20461607263704,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
689,False,"{'a': 0.5, 'e': 0.881664}",20,0,-8.441965428694257,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
690,False,"{'a': 0.5, 'e': 0.88131975}",20,3,-36.06986033942148,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
691,False,"{'a': 0.5, 'e': 0.8809750000000001}",20,0,-37.62978174000344,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
692,False,"{'a': 0.5, 'e': 0.88062975}",25,0,-250.30851839458103,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 5}",0
693,False,"{'a': 0.5, 'e': 0.8802840000000001}",20,10,-54.00371957434264,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 1}",1
694,False,"{'a': 0.5, 'e': 0.87993775}",20,0,-91.11571815124097,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
